query SELECT * FROM [histr],,,,,,,,,,,,,
sort,,,,,,,,,,,,,
columns,text Body,text Name of Body,text Date,text Transaction number,Amount,text Supplier name,text Supplier ID,text VAT reg no,text Expense area,text Expense code,text Expense type,text Costcuk,text Creditor type
,Body,Name of Body,Date,Transaction number,Amount,Supplier name,Supplier ID,VAT reg no,Expense area,Expense code,Expense type,Costcuk,Creditor type
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082564,"1,584.00",HAYMARKET MEDIA GROUP LIMITED,23548,232584272,Planning,A47010,Subscriptions,R0634001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082595,"1,390.00",MIKE GIBSON,376818,720842258,Highways & Infrastructure Development,A49005,Other Hired & Contracting Services,R0557019,DCC CIS Suppliers
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082604,"1,137.50",DAVID SAPIECHA,405894,691715121,Other PH Services,A44968,Legal & Conveyancing Charges,R0548001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082609,"5,639.98",SOUTH HAMS DISTRICT COUNCIL,8255,142204125,"Transport Operations, Environment and Waste",A46100,Main / Term Contractor,R0596001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082623,"25,298.03",UNIVERSITY OF BRISTOL,57307,991261800,Inclusion & Learning,A44038,Fees,R0061001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082864,"1,400.00",BLUEBERRY MARKETING SOLUTIONS,375517,882876563,"Economy, Enterprise and Skills",A44005,Publicity/Advertising,R0547001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082870,"2,428.80",CORVER LIMITED,370288,744698681,Children's Social Care,A20010,"Property Repairs, Maintenance & Alterations (Reactive)",R0074001,DCC CIS Suppliers
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082883,"1,000.00",Kokutan,604062,,"Economy, Enterprise and Skills",A49105,Other Supplies & Services,R0547004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082954,"2,099.44",NETWORK RAIL,195364,798650956,Capital - Highways,C02051,Term Maintenance Contract,C0652001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082988,"2,544.45",SWARCO UK & IRELAND LIMITED,13690,568335022,Capital - Highways,C02009,Works,C0671005,DCC CIS Suppliers
INSERTED DETAIL,18,Devon County Council,07/04/2026,22083007,"2,623.00",AYRE CONTRACTORS & PLANT HIRE,209433,996310885,Capital - Highways,C02009,Works,C0652001,DCC CIS Suppliers
INSERTED DETAIL,18,Devon County Council,07/04/2026,22083013,"2,162.50",AYRE CONTRACTORS & PLANT HIRE,209433,996310885,Capital - Highways,C02009,Works,C0652001,DCC CIS Suppliers
