Body,Name of Body,Date,Transaction number, Amount ,Supplier name,Supplier ID,VAT reg no,Expense area,Expense type,Expense code,Costcuk,Creditor type
18,Devon County Council,18/03/2026,22069641," 16,182.70 ",NORSE SOUTH WEST LIMITED,279741,785421021,Highways & Infrastructure Development,Main / Term Contractor,A46100,R0574001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22078047," 16,200.00 ",SENTINEL PARTNERS LIMITED,330158,143180146,"Economy, Enterprise and Skills",Fees,A44038,R0542001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22082826," 16,279.42 ",SEVERN TRENT GREEN POWER,322030,876098474,"Transport Operations, Environment and Waste",Main / Term Contractor,A46100,R0598001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150381118," 16,837.64 ",M Group Highways Limited,375383,927200546,Capital - Highways,Term Maintenance Contract,C02051,C0652001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22078877," 17,265.00 ",SPORTS CLUBHOUSES,370863,171688381,"Capital - Planning, Transportation and Environment",Works,C02009,C0671003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22077642," 17,627.42 ",NORSE SOUTH WEST LIMITED,279741,785421021,Capital other - Digital Technology & Business Services,External Professional Fees,C02011,C0651001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22076020," 19,572.13 ",COSMIC (HONITON),103322,684759473,"Economy, Enterprise and Skills",Fees,A44038,R0546004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150381089," 20,264.23 ",M Group Highways Limited,375383,927200546,Highways & Infrastructure Development,Main / Term Contractor,A46100,R0554003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150381102," 20,303.13 ",M Group Highways Limited,375383,927200546,Capital - Highways,Term Maintenance Contract,C02051,C0671005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150381113," 20,387.15 ",M Group Highways Limited,375383,927200546,Capital - Highways,Term Maintenance Contract,C02051,C0652001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22078658," 20,485.50 ",SWARCO UK & IRELAND LIMITED,13690,568335022,Capital - Highways,Works,C02009,C0671005,DCC CIS Suppliers
18,Devon County Council,18/03/2026,22079150," 20,586.73 ",PRIOR'S COURT SERVICES LIMITED,375137,326021250,Dedicated Schools Grant,Independent Special School Fees,A61052,R0089001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22079095," 20,613.20 ",SHEILING SPECIAL EDUCATION TRUST,365526,478670147,Dedicated Schools Grant,Independent Special School Fees,A61052,R0089002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22082188," 20,742.64 ",MOUNTJOY SCHOOL,307212,,Dedicated Schools Grant,Other Recoupment Expenditure (3rd),A53035,R0111004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22077145," 20,895.00 ",COTSWOLD ARCHAEOLOGY,218190,647888273,"Capital - Planning, Transportation and Environment",External Professional Fees,C02011,C0671003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22082121," 21,024.34 ",COVY LIMITED/ TRADING AS GARAGE SERVICES,390598,429102322,"Transport Operations, Environment and Waste",Vehicles Repairs,A30010,R0584003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22078543," 21,235.50 ",ABCAS (UK) LIMITED,360376,728793289,Capital - Highways,Works,C02009,C0652001,DCC CIS Suppliers
